,Verification Status,review,Sentiment_Score,Sentiment_Label
218,Not Verified,"Flew premium, only worth the extra money for the bit of extra room. Penny pinching means there’s no other benefit - one drink service on 10 hour flight, no fizz offered before take off, poor food, boarding was badly organised. Food left on tables 30 min before landing with no tea and coffee offered. Few small cups of water passed around but nothing “premium” about this. New planes have been decorated terribly - feels like you’re in a dentist waiting room. Devoid of any personality or joy. Only fly if the only option, only fly premium if it’s not too expensive - seriously not worth much more than economy these days, especially if you’re in the middle 4.",0.4985,Positive
241,Not Verified,"It seems that there is a race to the bottom amongst airlines. I cannot even check in because BA requires the submission of documents for Covid restrictions. However the form to start the submission process is hopelessly broken. After clicking ""submit"" the form just hangs forever. No error message is given. I tried three different browsers on three different devices. All have the same hang. Which means you cannot check in online nor can you select a seat. I tried using the chat bot, but after 30 minutes of clicking ""try again"" I thought I had donated enough time to BA.",-0.6808,Negative
242,Not Verified,"As a Spanish born individual living in England, I have been using British Airways for over 3 decades, multiple times a year. On 12th January 2023 I booked a flight for my son and I to go to Alicante. However, I was informed on the 17th January 2023 by my doctors that I am unable to fly due to an elbow operation I have had. As a result I decided to give my ticket to my daughter, calling up the Customer Service team for British Airways to make the change. On the 18th January 2023 they took my enquiry call. There seemed to be some speech delay in the call, which presented a small bit of difficulty, however I also struggled to understand the support staff member on top of this delay. When requesting to change the name on one of the tickets to my daughters name I was told this is not within the policy, and that I would need to cancel the ticket and rebook it. I was encouraged to divide the booking so myself and my son were on two different booking reference numbers. I accepted this and was then asked if I would like to cancel the booking. I insisted I would need to know the total of the refund. It’s lucky I did ask to check this, as I was then informed it would be roughly £9.00. The total cost of my booking was £394.64, which comes to £197.32 per passenger, leaving my refund total at less than 3% of the value of my purchase. This is despite the seat not be abandoned. According to BA  policy, all I am entitled to out of a simple change of name is less than 3% refund even when I’m buying the ticket right back then and there on the phone (probably for more money than it was worth a week ago).",0.8351,Positive
246,Not Verified,"I find BA incredibly tacky and constantly looking for ways to get money out of customers. I have travelled using major airlines my whole life and although I know it sounds silly - when on a 4 hour flight on a major airline you do expect some form of beverage or snack as a curtesy and a port to charge your phone and not have to pay insane prices for luggage. There was no inflight entertainment and the aircraft was very snug, when I challenged why I had to pay for my own drink and why no inflight entertainment - I was told it was a short haul fight. My sisters met me from Cairo (which is an hour and half flight) and flew Egyptair and somehow received luggage allowance, drinks, food and inflight entertainment as well as a USB port to charge their phones. BA I now realise stands for Budget Airline. Staff were great - what you got for your money not so much.",0.7121,Positive
248,Not Verified,"Great thing about British Airways A380 is the economy section upstairs. Get this if you can as it allows you to have small stowage cupboards at the window seats. Despite being not very old, the A380 looked tired inside. Broken side stowage, a seat that reclined uncontrollably and slow to react IFE. The food was supposed to be Christmas dinner. 3 wafer thin bits of dry turkey, 4 over cooked sprouts and some cubed potatoes. Poor in taste and quality. Mousse desert was great though. Slight issue during the snack meal. Ordered a childs option which was marked as such. Regular meal arrived as well and they were exactly the same. Asked a crew member to be told the difference was the sticker on the box. Staff were ok. Couple decent but mostly just ok. Overall, BA just seems a tad cheap these days. Great to sit upstairs but that was where the enjoyment ended. Just seemed a bit dull and like BA are just an average airline.",0.9382,Positive
249,Not Verified,"The staff are friendly. The plane was cold, we were shivering, they gave light blankets but they were not enough. Meals were basic. Entertainment was basic. Luggage is delayed, today is day 6 and BA staff over the phone say ""call after 72 hours"". Tracking system is very vague, had to extract information from staff that they arrived to Vancouver on Jan 2nd. I offered to collect baggage but very vague answer ""call the Airport"", asked her for BA phone number at YVR but she said ""we don't have a phone number for you to call, call the main Airport"". Their policy states you can make a claim only after 21 days.",0.3118,Positive
254,Not Verified,"When will BA update their Business class cabin - 8 across on a 777. It is not so much travelling facing backwards as it were, but the cabin staff having to pass food trays across the front of passengers paying business class fares! As for having to pay to reserve a specific seat - an antiquated idea. The cabin staff were fine, food acceptable, check-in OK and Business lounge (breakfast) acceptable. The lack of space in the seating area, small screen and disfunctional entertainment equipment disappointing. Having to step over the reclining passengers feet is not attractive.",0.6165,Positive
261,Not Verified,"BA cancelled my flight home to Heathrow on Dec 19th. On the face of it, that was sensible as the weather in Iceland was appalling. However, what was not acceptable was that the flight was cancelled only 4 hours before take off time by which time I was already struggling through dreadful driving conditions to get to the airport. I got nowhere near before the conditions became too bad. If they had taken advice they would have spared everyone the need to try and travel on roads that all ended up closed. I am now booked onto the flight on the 21st and downgraded for my sins. Having checked today, as I type they have not cancelled the flight on the 20th despite the road to Keflavík being closed! Do they not check these things? Any help from BA offered - not really.",-0.9535,Negative
262,Not Verified,"BA cancelled my flight home, the last flight of the day into Heathrow, and tried to push me onto another flight to London City 3 hours later! My car was at Heathrow. I didn't want to try and cross London late at night on public transport with luggage, especially as there were rail strikes announced around that time. I had to book a flight home with Lufthansa which cost €500 for an economy seat, but at least it got me home to Heathrow (all be it another terminal) on the Friday night so I could get home to family. I still have had no news on a refund of the €500 2 months on. It's such a shame, flying BA used to be such a pleasurable experience. BA have cancelled or moved one leg of every journey we've booked this year. We are regrettably have to use other airlines now which have much better reliability and customer service.",-0.7686,Negative
264,Not Verified,"Boarding – at gate at LGW they called Group 1 to board (we were World Traveller Plus & Group 3), then called ""anyone in Groups 2-6"", whereupon everyone else surged forward. Why have numbered boarding groups if you don’t use them. Cabin crew - Treated passengers as an inconvenience as they moved about the plane. At one point a passenger was coming out of the toilet as a crew member approached and the crew member just pushed the door closed pushing them back into the toilet as they went past, and without even a word. No acknowledgement when you stood aside to let them past. Service – We were in the final row of six in WT+ (which has a total of 48 seats). The lunch meal was brought out and we were the last people to be served (not unusual for back row seats) but when it came to us there was only the vegetarian option left of the 3 menu options. Cabin steward said that they had only been given 48 WT+ meals. There was a second hot meal served before we landed. Again, the same server got to us last and again there was only a vegetarian option left. I asked if it might not have been possible to commence serving this second meal from back to front so that we had a choice for at least one meal, and she said she hadn’t thought of that! Food – Some of it was inedible. Vegetarian Cannelloni had pasta so thick and uncooked neither of us could eat it. The bread roll was crispy like toast in the bottom half and soft in the top half. Only thing I could eat was the Baby Bel! In between meal snacks consisted of a 2 biscuit pack of shortbread, pretty basic. Drinks – They ran out of red wine 4 hours into an 11-hour flight. Toilets – There was no toilet accessible directly from the WT+ section. We had to walk halfway down the plane through Economy to reach a shared toilet. We flew Virgin Atlantic 2 months before in equivalent (Premium Economy) and it was so much better. Organised boarding, sparkling wine or orange on boarding (water or orange in BA), food options available (even in last row seats), better food, proper glasses/cups for drinks, dedicated toilet access, help yourself snacks, helpful service from cabin crew. We will not be looking to fly BA over Virgin in future.",0.9873,Positive
268,Not Verified,Seat horribly narrow; 3-4-3 on a 777. Thankfully the flight was only a quarter full so was able to stretch out. Food and beverage service was good and it was great having a proper beer not a cup of froth that overflows! Cabin crew very good. Booked as a BA ticket that included travel on Qatar Airways as well.,0.8932,Positive
283,Not Verified,"Worst experience ever. Outbound flight was cancelled and I was not notified. I was rebooked on a very uncomfortable trip. Inbound flight delayed 1 hour, also not notified. On top of it, they boarded my hand luggage, which was the only bag I had. Extra wait in Milan then. Food is horrible.",-0.8953,Negative
289,Not Verified,"I’ve generally been a loyal Gold status flyer with BA if they fly the route I’m after but my recent flight to Nairobi was about as abysmal as you can get. We should have departed at 10:20 but after continuous delays finally left 4.5 hours late, not ideal when you’ve then got an 8hr + flight. Staff informed us virtually as we took off that the meal and drinks service would be started and completed asap as they needed to get rest because of hours we had been delayed. They couldn’t get it out and away quickly enough. That was then basically the last you saw of them until they came around an hour or so before landing. I sincerely hope they enjoyed their rest because when you pay full fare for business class service you actually expect a service. They were all extremely miserable and clearly didn’t want to be on board. We’re still waiting for you to pay our compensation that has been awarded to us by the official ombudsman in July for the cancellation of our flight to Miami in March. This was cancelled at 3am for the 2:30 pm flight !",0.8651,Positive
298,Not Verified,"LHR-LAX. I prefer the Boeing 777 over the A380 as the seats don't seem too cramped. Check-in was very easy with the kiosks as was bag drop and security at Heathrow. T5 is a whole other story. Once through security its up the escalator, up the stairs, up the elevator, down the escalator get to the gate, no seating, then down an escalator and finally down the jet bridge to the plane. I have been in and out of Heathrow many times but never in T5 before. Anyway cabin crew were pleasant; drinks and meal service were fine. It was a day flight so no real sleeping and passengers were all moving around most of the flight. The entertainment system was good with decent options, so I occupied my time with several movies. Nice landing at LAX. All in all BA was just fine.",0.962,Positive
301,Not Verified,"London to Cairo. First, on this 5 hour mid morning flight the only complimentary food and drink were a tiny bag of pretzels and a small bottle of water. Even Southwest is more generous. When unable to connect my phone to order food, I hit the FA call button with no response for more than an hour. When the FA came to collect garbage I had to show him the call light and he gruffly asked me what was the matter. He used his phone to place the order.",0.659,Positive
304,Not Verified,"DFW-LHR. Had an easy transfer at DFW from American Airlines to British Airways heading to London. First ride on an A380 left me with the feeling that this plane type won't ever be my first choice. Was seated upstairs where the cabin space seemed very roomy, but the seats and rows were very cramped. When the passenger in front reclined the back of the seat was 7 inches from my face and I had a real difficult time trying to view the seat back entertainment screen. The seat itself wasn't too bad but I felt squished and locked in. On a plus side, having a window seat gave me this nice storage area by my side. Ground staff were pleasant and cabin crew were really nice. Plenty of beverages offered and multiple water runs were made during the night. Dinner was rubbish as was the morning pre-landing snack. The entertainment system was very responsive and had a pretty good selection of movies, tv, music and games. All in all it was an OK experience and did get me to London on time and our baggage arrived safely, but I'm not sold on the A380. T5 at LHR is another story that will be in a different review. What a mess that place is.",0.9918,Positive
310,Not Verified,"I would like to thank all the air and cabin crew for having the best experience with a very long journey! I don’t know how you manage to keep smiling. Couldn’t fault anything. Helpful, reassuring, excellent food and I can’t wait to fly again. Thank you and I really appreciated you.",0.9753,Positive
312,Not Verified,Good flight apart from my seat fabric was coming apart on39J and lack of good leg room. Meal was good from Singapore. Should be more snacks on board. My neighbours passenger charger and headphone socket didn’t work.,0.7506,Positive
315,Not Verified,London to Manchester. British Airways is probably the worst air company I have ever flown with they took 2 hours to unload the luggage and the flight was delayed by an hour. The staff were no help and frankly rude.,-0.8176,Negative
316,Not Verified,Flight was cancelled at the last minute due to “weather” despite pretty much all other flights not being affected. Booked onto a flight the next day. Arrived at the airport 2.5 hours ahead T5. Horrendous check-in and security delays meant we almost missed the new flight. The flight was fine once we got on it but the damage was done.,-0.799,Negative
318,Not Verified,"This review is for BA booking system not a flight . Today I clicked wrong date on line, my mistake and expect to pay a fee. I then go to “cancel booking” and click on the option to not receive a voucher, immediately I received a response saying my voucher is on its way. I call them and speak to a gentleman who continuously spoke over me and would not listen to my concerns and eventually I give up and want to book a new flight, obviously at a much higher price but using the voucher I didn’t want. However to my surprise I am unable to use this voucher because they can’t tell me what it is until I receive it at a point in the future that they can’t say when. So they now have my money and I have to re-book at full cost. In the end in order to get me off the phone they hung up.",0.0772,Positive
321,Not Verified,"I sat in seat 25C. Our Cabin Crew lady was called Gina and she went above and beyond to keep the customers happy. She greeted us as we boarded with a very cheery smile, she engaged with two families travelling with young children and gave out games and books. Her trolley service was excellent and she took great care in what she was doing. She had time for a quick chat and I think she said she was half German and half Bulgarian, a really lovely young lady who is a credit to British Airways.",0.986,Positive
327,Not Verified,"My husband, parents who are in their 80’s and I were traveling back to NY from Naples, Italy and had a stopover at Heathrow, London. Let me just say we were not happy when we arrived late to London and missed our connecting flight back to NY. The reason writing this review is the great customer service that Kashmir Dhami gave us. She was very helpful in booking all four of us on the same flight the very next day, which was very hard to do because we all had different bookings so it just made it all so difficult, but she got it done! She is so kind and is amazing at her job.",0.9197,Positive
328,Not Verified,"On our recommendation my son and his young family (child 4 and baby 9 months) and wife, flew BA to the USA from Cape Town, leaving yesterday evening. Just got off the call with him, after their arrival at Heathrow. Shocked at what he told us re the cabin service provided (or not!!) especially as my wife and I have used them many times a year for + 20 years of business flights from RSA, this our recommendation to him to use them for his holiday. My grandson had a coughing fit, so they asked (bell push) 4 times for glass of water - all ignored. Last one was told ""wait till drinks are served!"" Then when evening meal served - no food available for the 4 year old, which was pre-ordered online, they said nothing available and when my son explained it had been pre-ordered - the cabin staff supervisors response - ""prove it Sir"", that sealed it for us, if that’s the BA response to what’s seen as cattle class - it will permeate to our normal travel class, so our next booking will be an alternate.",-0.3561,Negative
329,Not Verified,"We had a nice flight. pushed-off exactly on time. Cabin crew very efficient in all things; friendly for the most part as well. Dinner (hot!) and complimentary wine served in premium economy very good. Do avoid middle seats though, even in premium economy. Only issue was with indifferent/non-helpful BA call center who refused to honor one world status to select seat choice in advance. Nice start to a 3 week trip to England.",0.9594,Positive
337,Not Verified,"Decent flight and airplane, non existing customer service for refunds and support after delayed flight. Flight on 18th June-2022 from Vancouver to London airport was delayed for roughly 4 hours. We received a 10 CAD voucher for some drinks, this was appreciated. Because of this delay we missed our connecting flight to Amsterdam (from London), within the airplane we have been informed to go towards the British airway information desk to reschedule another flight towards Amsterdam. When we left the airplane in London, there where 3 employees working and a 400 people waiting line. We asked around towards the nice employees British airways have and we have been told this was the only line/desks to get a reschedule for our flight to Amsterdam, so we had to wait and be patient. After 4 hours of waiting and being roughly halfway the line we felt like uninformed cattle in an 4h waiting line with only candy bars and sugar cookies to eat.  At some point after 4 hours they were giving away hotel vouchers and shuttle bus vouchers because we couldn’t sleep/stay at the airport, as we noticed on the website we have been assigned another flight. This flight was about to leave Tuesday morning (it was Sunday 5pm when we arrived in London). This meant we have to spent 2 additional days in London before we were able to fly to the Netherlands. We have been told by the employees we could arrange our own transfer back to the Netherlands and save the receipts, and we will get a refund on the costs (hotel, food, transport) and a refund on the flight for Tuesday as we where not going to take this flight. They released out baggage, gave us a hotel voucher and cancelled the Tuesday flight they gave us. We were going to make our own travel back to the Netherlands. Seems British Airways claims & refund process is non responsive, as we already requested information 2 times for our compensation, but received nothing yet. apart from an automated email saying we could get a small refund based on our missed flight.",0.3585,Positive
338,Not Verified,Reasonably smooth boarding. Meal service was smooth ad efficient but no ice or spirits available as no room on the trolley - could they have offered to serve this afterwards? Seat was very uncomfortable indeed on this aircraft so got little if any sleep on the long overnight flight. Cabin crew spent much of the time between meals talking loudly at the rear galley meaning we couldn't sleep even if the seats were comfortable. This was so disrespectful and inconsiderate.,-0.8092,Negative
342,Not Verified,Flight delayed slightly due to luggage conveyor breaking down. Luggage never made it to Toronto and we filed a lost baggage report. Within 24 hours our luggage arrived in Toronto and a wonderful BA representative went down into the baggage loading area to retrieve it for me. Would definitely give BA a 5 star rating and have them again.,0.4939,Positive
345,Not Verified,"Nairobi to New York via London. British Airways has given me such grief, trying to cancel a ticket for my uncle who passed away, they canceled a ticket instead for my newly widowed aunt after they split her booking off the original booking. It is now less than two weeks until her scheduled flight, and I have been trying to amend her booking and hours and hours I have spent on hold, or with an agent, being told that my query has been prioritized and that I will receive a call back within 48 hours. I call every 2-3 days and nothing has been done to reinstate her ticket and no agent can ever resolve the situation. I will never book with BA again. Sure, flying with them is easy, but their total lack of practical assistance has caused distress and frustration and so many hours of wasted time. And to think I spent more money on a ticket with BA than other cheaper carriers thinking it would make my life easier. BIG MISTAKE",-0.9565,Negative
346,Not Verified,"Today, my husband and a friend flew from Dublin to London City Airport. All apparently went well from check-in through the flight. After that, the ineptitude and lack of systems seemed to be in full bloom. We waited and waited for our bags to come off the baggage carriage, but neither my husband's nor mine came. I found a BA service person to ""help"" me. He told me that there were 60 bags checked and 59 on the plane.  I thought, one of our bags made it. Then, two other customers from the same flight were complaining to someone else that they, too, had not gotten their bags. So, I assumed the 59 out of 60 was some kind of interesting fiction. I was then told to file a claim on BA.com which we did. At this time, about 10 hours after our flight landed, the system says they have no idea where our bags are! Now, I've had bags not get on flights before - less and less as airlines have tracked their bags fastidiously (I usually fly United Airlines which tracks your bag at every stage of the flight with updated info - e.g., ""Your bag was loaded onto the plane""; ""Your bag is on its way to baggage claim""). BA doesn't seem to have anything like this. In this case, again, it appears BA cannot even locate the bag. I hadn't flown BA in many years and with experience I would never book them again.",0.8102,Positive
347,Not Verified,"British Airways is poorly staffed at Venice airport. No one to check in 2 flights departing within 15 minutes of each other 1.5 hours before. Huge line snaking through airport. Flight crew fine. London to Baltimore segment on an older 787, usually they are much nicer. Limited TV and movie selections, wifi did not work. Flight crew ok, food adequate.",0.7184,Positive
348,Not Verified,"I booked a flight for myself and my wife from Heathrow to Nairobi in Premium Economy using Frequent Flyer points. I then paid $205 to reserve two seats on our own, in a 2-4-2 configuration cabin, as I didn't want to sit in a row of 4 people if possible. A few weeks before our flight BA emailed me to say they had changed my seat selection. When I logged in to see my new seat selection I had been moved into a row of 4? The email also stated that if I wasn't happy with the new seat selection they had made for me, I could get a full refund of the money I had paid. I called to cancel the reservation, which they did, and I paid $200 cancelation fee and they refunded my frequent flyer miles. When I asked them to refund the fee for my seat reservation, they told me all seat reservation fees are non refundable. I read them the email they had sent me when they changed my reserved seats, but the repeated that seat reservations are always non refundable.",-0.3839,Negative
350,Not Verified,"Was going from Belfast to London but they cancelled the flight, and we didn’t even know it was cancelled. Someone behind us had to tell us. we had a connecting flight and spent a lot of money on our holiday. the refund takes ages. Overall not happy at all.",-0.6648,Negative
351,Not Verified,"Second time getting poor service from BA. 1st, unable to contact via phone, email or website. 2nd even with four business class tickets across the Atlantic, they do not allow free seat selection or check in until 24 hours prior to the flight. Do they understand what the last 24 hours of an international trip are like? By the time we confirmed our seats my wife and our kids were spread throughout the plane. Of course no-one at the airport could do anything.",-0.6083,Negative
352,Not Verified,"Booked a flight from London to Paris 2020. Trip was cancelled due to Covid lockdowns. We asked BA staff for refund, told cannot do but will issue vouchers. We stated no good for two elderly people from Australia as would not know when we can travel. Informed no other option and silly vouchers sent. Now they are running out of date and unusable! Have been asking for two years for refund! Many many emails. They keep saying we took vouchers! Had no choice. Does anyone have any other options re complaints! We would be most grateful. Really not fair to just take our money!",-0.7929,Negative
353,Not Verified,"We left MIA late due to an issue with the provisioning of the plane. We arrived late and so missed our connection at LHR to CDG. At LHR British Airways rebooked us on not 1 but 3 flights to CDG and as such said I never took the flight to CDG and then cancelled my flight back to MIA since I did not take my flight. They did credit my AVIOS for the one flight but said I never took it. Thus I had to book on another airline to return at the last moment. Trying to call BA was a nightmare on hold for over 1 hour, a total of $127 extra on my calling plan only to not be helped as the person did not know what to do so he had us contact duty office who does not handle “flight only” problems feeding us back to the number we just called and we’re unable to be helped. BA cost me $5800 overall. We have flown them for years reaching silver and gold status but never again. They under new leadership have sunk to less than a budget low cost airline in customer service while charging premium rates - don’t be fooled.",-0.9091,Negative
354,Not Verified,"The flight was delayed over 6 hours and this of course caused us to missed our connection flight and change to a different route, finally I lost my luggage and no one has any information. I will never again travel with British Airways.",-0.765,Negative
355,Not Verified,"Terrible experience with British Airways! I was obligated to check-in my carry-on suitcase due to my group number, according to the girl at the front desk. Then, they could miss my two suitcases, plus the luggage of my boyfriend, who traveled with me. After 3 days, they delivered 2 of our 3 bags, and since then the promise of deliver the last one persists. Now, already 10 days passed, and still no information of where the last suitcase is. Always the promise that the bag will be delivered today, but it never happens! No respect with the customer! First and last time with British Airways for sure! I don't recommend at all!!",-0.5239,Negative
358,Not Verified,"The customer service of British Airways is really bad. You can't reach any call centre agent even after waiting for 30 mins. Now, I really appreciate Emirates and Turkish Airlines after facing BA's low quality customer service. Not only the customer service but the food they offer during a long haul (LDN-JNB) is really low quality. Other airline operators which are working with Do&Co for flight catering are way better than BA. I guess BA has selected the lowest budget option from Do&Co. Overall my rating is 2/5 for BA - you can feel how stingy BA is when you fly with them. Note: Respect to their cabin crew",-0.3479,Negative
362,Not Verified,"Right now do not use British Airways. When booking, person said we would have enough time between the connection flight to final destination, but he was wrong. Flight to London was late, we auto missed our flight to Edinburgh, and had to wait 9 hours for the next flight. Coming back once again flight leaving was late, had to run to get connecting flight, then we sat on tarmac for an hour because luggage had to go on so I thought good, that is probably my luggage. Once back in Boston luggage did not show up. They said we would get it within 24 hours and we didn't, so far it will be at least 2 days.",-0.3984,Negative
363,Not Verified,"I could very much understand losing my luggage for 8 days with how airports are doing. This was a risk I was well aware about when travelling to Greece for my wedding. However, in my many attempts to receive communication from this company, it has been nothing but disappointment and upset. The company at one point was picking up and immediately hanging up on my husband. The most recent time I have called them, is because I requested an agent from the luggage team give me a timeline of my bag’s location, the man on the phone verbatim stated: “and if I don’t?”. After this he proceeded to tell me my bag was in Edmonton with WestJet, and that this was “not his problem”, before saying “hold” and not taking me off hold. I did not book with WestJet/nor is this Westjet’s luggage issue (they have been amazing when I have called them and have given me the most info out of everyone). I will never use this company again nor will anyone that I am close to. This has been completely disheartening. Please please do not use this company if you would like your travel to have any chance of going smoothly or any chance of receiving adequate or even any information or communication. I have never in my life been treated like this as a customer before.",0.963,Positive
367,Not Verified,"Feels like BA are putting the 'economy' back in 'premium economy'. Very pleasant, friendly and helpful cabin crew. However it was over two hours before food was served on this already-delayed 7.40pm flight. A single drink was offered in plastic cups before meal service, and with the food you were offered wine only, but the crew 'could come back later' if you wanted something else - including water! I drank wine anyway but I wouldn't leap at this offer given how long it took them to do food. I've never experienced this on other airlines' premium economy products (I flew WestJet this year and they took your drink orders just after you boarded, then brought them to you before, and then with, your meal in glassware - brilliant! Air New Zealand do glass and use your name throughout). Water eventually came round after we'd eaten. As I say, the crew was pleasant and friendly but seemed under-equipped, under-staffed or following poor procedures. Food was forgettable. In-flight entertainment was great and the screens large - unfortunately after every seatbelt light announcement the screens' brightness levels reset to their retina-searing default. Not fun on a night flight with turbulence. Loos on this Gatwick 777 were halfway down economy (which was pandemonium) or at the very back. The upside to this layout is that PE is next to the exit, so we deplaned very quickly. Check-in queue at Cancun took forever. Couldn't see or hear gate announcements so everyone crowded the gate. Grateful for priority boarding in this situation. Bags arrived OK at Gatwick, no delay. I continue to avoid BA unless using Avios for business class or where there is no alternative. BA's problems all seem so easy to fix - their cabin crew are clearly eager to help you, why aren't they equipped and given service procedures to match other airlines at this price point?",0.9891,Positive
368,Not Verified,"Phoenix to London Heathrow and then to Hamburg. Despite a 4 hour layover in Heathrow, bags didn't make it onto the connecting flight. Once in Hamburg, there was no one at the baggage tracing desk and the number provided was a dead-end; no ability to leave a message or connect to an employee. A group of passengers all missing checked baggage waited in the airport and tried every outlet possible (check-in desk, other baggage tracing desks, calling, emails) for two hours to no avail. The solution for us was to fill out a sheet of paper with contact info and baggage description. Four days later, no information where my luggage is and no way to contact customer service. Absolutely miserable customer support. Our flights were alright but after such bad customer service we will never fly BA again.",-0.8301,Negative
374,Not Verified,"My son travelled alone for the first time to pursue his studies and we were very concerned about any issues he might have especially reading the reviews about the airlines.. But his flight was experience was good with no delays and reached Toronto in time. We are thankful to British Airways to provide a hassle free flight to my son, especially after the troubles the airlines have gone through due to pandemic. Unfortunately, people with good experiences do not post their reviews skewing the reviews negatively. The flight was very expensive though as we booked late, after being dumped by Air Canada / Swiss air, after they cancelled their flight at the last moment.",0.4505,Positive
376,Not Verified,"Boarding on time, but unfortunately from ORT’s worst boarding gate, which obviously was beyond BA’s control. Crew were good but lacked the personal touch. Old style ying yang business class with total lack of storage space, and the 777 was showing it’s age. However we were told the aircraft was being taken out of service the following week to be upgraded to the new club suites. The cabin crew were good, food ok, wines a little disappointing. Overall a decent flight.",-0.7236,Negative
379,Not Verified,"British Airways - Travel with Confidence. Probably the most unsuitable tag line, they should be ashamed. Back in October I booked a holiday to Punta Cana with BA only to have it cancelled early in 2022. Late last year I also booked Heathrow to Malaga for a family wedding in May. Guess what, a few weeks ago that also got cancelled. I had the chance to rebook with BA but with so many cancellations planned I was not willing to take the risk of not making my destination for such an important event, so applied for and received a refund. I have now also asked for my Executive Club account to be closed as I shall no longer be wasting my time booking with such a shambles of an airline. My suggestion is if you want to 'travel with confidence' choose another airline. Any airline.",-0.1154,Negative
380,Not Verified,Business class seating shown as a 2x2 configuration on the website is economy style with an unsold middle seat - not much more comfortable than economy. Meal service started with three options but was down to 2 options by row 5 (out of 8 in business class) and by row 6 where we were seated only one of us had 2 options then only grilled tofu was available for the rest of business class.,-0.2405,Negative
383,Not Verified,"I have been battling a long overdue refund with BA regarding a flight originally booked in 2019... The flight was cancelled, a voucher was issued, another flight was booked using this voucher, and then again cancelled. After trying to use the voucher for a new flight, BA kept advising I couldn't as the voucher had been used. I asked them to check the status of that flight (as it never left) and the agent advised she didn't have access to that information. Two years in, I managed to speak to someone who recognised that either a voucher or refund was due and made a note on my record. I then decided to pursue a refund, as felt this would be less problematic. BA have acknowledged they owe me a refund. One phone call they said it will be with me in 18 working days. I then chased when it was long overdue. I was then told it will be with me in 21 working days. The refund never came. I try regularly to get through to Customer Service for the automated system to advise no agents are available. I have also sent two follow up messages via the case reference link they sent me, requesting an update, but with no response. Honestly feel very let down by BA who up until this, I felt were the more trustworthy and reliable airline. I suspect they will have ruined many trusted relationships with customers by now.",0.1989,Positive
386,Not Verified,"Basel to Johannesburg via London. Cancelled connection flight: confusing UI, still shows cancelled booking in my bookings, never sent a confirmation email for new flights.  Cant check-in. Could check-in online or via the app. Customer service is non-existent. Busy line, after 45min still no one there to help me check in.",-0.5267,Negative
389,Not Verified,"British Airways continues to decline in customer service. I used to love this airline and now I have had three poor experiences back to back regarding their customer service on the phone with flight changes and vouchers. The most recent experience has cost me $3000 more than originally booked due to bad rep advice and multiple calls to the company. Even as part of the Executive Club (Silver) I continue to be left on hold for ages and in the last week have spent over 6 hours on the phone seeking support. At this rate, they have lost my trust.",0.3182,Positive
390,Not Verified,"On my flight from LAX to LHR I paid to pick my seat for my flight back to LAX. I saw the $116 come out of my account the next day. As I’m adding in my booking the day before my flight, the website tells me I no longer have a booked seat and the seat I paid for has been sold to someone else. I spent an hour trying to find a way to contact their customer service and at first was told to DM the airline on Twitter which I find extremely inappropriate but I still reached out anyway because I was unable to find another way to contact them. On Twitter, I was told they were looking for an agent to help me and they never ended up responding. They just left my message unread. After about 6 hours of waiting for a Twitter DM back I ended up being able to find a chat line on their website. While talking to the agent on the chat line she informed me that they sold my seat to another customer and that she would book me a new seat, however she was unable to tell me where the seat was or how many people were in my row. After a frustrating conversation she was able to book me my original seat. Soon after I tried to pull up my booking in the British Airways app and was unable to find it. I would enter the booking reference and the site would say it was a success and the booking would show up once I refreshed the page but it did not. I continued to try and add the booking and the app would do the same thing every time, say it was a success then never add the booking. I’m not able to find the chat line again and I will not DM a company on Twitter with my support issues again. I’m extremely frustrated.",0.9054,Positive
393,Not Verified,"We are on our way home after a 3 week holiday in the UK and have had all 4 flights with British Airways. Our 2 internal flights between London and Edinburgh were great due to the friendly staff and there were no complications, however, the 2 long haul flights have been a nightmare. Our initial flight from Cape Town to Heathrow was a full flight, the staff seemed very overwhelmed, they ran out of certain food and drinks and as we were in economy right at the back we got the ""leftovers"", my entertainment system was also not working. We are about to board the return flight from Heathrow to Cape Town and the check in process was horrific. I had booked through Expedia and somehow my return flight did not have a checked in bag allowance which I didn't realise until we checked in. I ended up having to pay an additional £85 for my bag, after being told to try do it under manage my booking on the app which was not possible and I also spent 20 minutes on hold trying to get through to the BA customer service number with no luck. We asked to speak to someone is person in terminal 5 and were told that they have no customer service desk in the main BA terminal.  Overall it took us about 2 hours to get me checked in after speaking to about 6 different staff members, none of which could help me. There was also a discrepancy with the baggage allowance as my friend I am traveling with was allowed 26kg and after paying to add my bag I was told it was overweight as I was only allowed 23kg and the bag was 24kg. Compared to having flown with other airlines I will never fly with BA again, the level of service is shocking compared to what you would expect.",0.8399,Positive
396,Not Verified,"We flew from Dubrovnik to Heathrow on the 24th April 2022. Check in was very fast and we cleared security in about 15 minute, we made our way up to the lounge which just has the basic essentials but was clean and spacious. When boarding time came we had priority boarding and was the first few to board, welcomed by the cabin crew and given wipes, once seated we left more or less on tme had the safety brief taxiing for take off. Once airborne it was soon time for the drinks and meal services, choice of 3 main meal options which was very good, served by very friendly crew, the captain kept us informed about the progress of the journey arrived at Heathrow slightly early. Overall a very pleasant trip. We will be flying again with British Airways",0.9847,Positive
