,review,Sentiment_Score,Sentiment_Label
2025,"Flew London Heathrow to Cape Town via Johannesburg. Effortless bag drop and customs/security transit in a very quiet T5. Silver card holder, so made my way to Terraces North. Plenty of seating available although sadly I was too early for the dinner service so ploughed my way through the rather poor ""afternoon tea"" sandwiches. Wine selections however were tip top. Boarding at remote C65 quickly turned into a scrum, with passengers crowding around the entry gates preventing passengers invited to board from doing so. BA part to blame for boarding the A380 so late before the scheduled departure time. On board flight down to JNB was up to scratch with a bright young mixed-feet crew and good service levels. The IFE on the A380 puts that on its sister BA fleet wide body aircraft to shame. On time arrival in JNB and then onto the morning BA (Comair) connection to CPT. Flying Comair is like flying BA in the 70's/80's with full hot service breakfast and a bit of old fashioned cabin service (endless cups of tea!). Early arrival in CPT made for nice end to a good journey.",0.3595,Positive
2317,"Flew London Heathrow to Houston IAH. Avios ticket, and British Airways gold card holder. Having taken my food order before others on the outbound sector, I was a bit surprised to find they had given ""my"" risotto to another passenger. They were very apologetic however and allowed me to choose something from the First menu. Aside from that, the journeys were uneventful, and the quality of food was better than the last few times. Overall I'm quite happy with this latest BA experience.",0.8313,Positive
2991,Flew MAN-LHR-YYZ and return. Outward in premium economy on a 777 there was plenty of leg room and a good entertainment system food was nice and plenty of options for drinks. Cabin crew good. Flew back from YYZ-LHR on 747 I was upgraded from premium economy to club world by the cabin crew which was excellent. Comfortable seat plenty of options for food and drink. Cabin crew attentive helpful and very friendly couldn't have asked for a better flight. Everybody seems to have a go at BA I find them reasonable priced and excellent to fly with.,0.9839,Positive
3297,Flew MCT to LHR on 1 Nov 14. Staff at Muscat were excellent and could not have been more helpful to my wife (who is a wheelchair user). Catering on the flight was awful. Food was inedible and we were only served two drinks over an 11hr flight. On arrival the staff seemed to not know that she was a wheelchair user (despite having assistance booked in advance) which meant a stressful wait on the plane while here wheelchair was found and a lift ordered. We flew out on Oman air that was faster cheaper more comfortable had decent food and better informed staff.,0.7897,Positive
3174,Flew MEX-LHR-TLS with BA and was very surprised having seen some negative feedback on here. Flight departed on time we were received well by staff at check-in and had no problems leaving MEX. Aircraft a 747 which was old yet fairly clean. Entertainment system was a little dated but once they got it working provided light relief. Service was very good staff were attentive whilst not overwhelming which is important on a night flight: we were not disturbed but knew refreshments could be brought when requested. Terminal 5 was easy to navigate and flight to TLS left almost on time. Uneventful second flight but nevertheless a good experience. Overall good service and communicative staff dated aircraft and equipment. Would definitely recommend service far better than other transatlantic airlines I have experienced.,0.9896,Positive
3143,"Flew MIA-LHR in First. Seats 5a and 5k. This was my first time in BA first and I was really impressed. From the moment my boyfriend and I walked up to check in to the moment we left the plane we were very well looked after. The food was nice and particularly enjoyed the ""buddy dining"". My gooseberry crumble went down well. I got around 2 hours sleep as the jet stream and storm that was hitting the North Eastern U.S made our flight very bumpy but also super fast. Flying time being little over 7 hours 20 mins. I must mention the cabin crew who were very helpful and professional. We bought the seats in the sale and it was money well spent.",0.9655,Positive
2145,"Flew Malta to London. First the plus points. Generous luggage and hand luggage allowance, even more so by being One World Sapphire member, which also allowed pre-booking of seats (including emergency exit row) at no charge and lounge access. So far so good, but new style leather seats (whilst smart looking) are hard after 3 hours flying without the ability to recline. No entertainment apart from BA in flight Magazine and inflight shopping magazine. What really lets British Airways down, though is the food and beverage service. One (albeit fresh) sandwich and a drink. No tea or coffee service and the crew fast became invisible after the meal had been served. The flight was crowded too, meaning that overhead luggage space was at a premium as the negative effects of a generous hand luggage policy came into play. On the basis of this trip, BA has declined significantly since I last flew with them, offering a very basic level of service.",0.8687,Positive
3170,Flew Miami to Heathrow it was a nightmare the attendant watched me struggle with 2 small cabin cases and did not offer to help and another passenger had to put them in the hold for me while the attendant stood there and watched. It was very clear that he could not be bothered. When the meals were being served he said to myself and my husband (do you want anything as if he was doing us a favour) we asked for nothing the whole of the trip. When arriving in Heathrow yet again he stood and watched me struggling to get the cases down as my husband only has one arm and could not help me. I have travelled many times with BA and always found the staff very attentive but sadly not on this occasion.,-0.745,Negative
3434,Flew SYD-SIN and had a reasonably comfortable trip. Problem is I didn't see much of the staff in premium economy and they were not very smiley either harassed looking. Service definitely down none of the goodies you used to get like snacks and plenty of water. Everyone rather terse I thought and not helpful. Not my favourite to fly. The aisle and seat space are for pixies not real people.,-0.4158,Negative
3142,Flew SYD-SIN-SYD and all in all can't complain. Service was excellent food excellent large wine choice. Seats weren't much different to other Business class seats we have experienced although I would suggest that couples don't choose window seats as they need to actually stand up and walk around to speak to their partner. Seats in centre are adjoining with a sliding screen between. Qantas first class lounge in Sydney was fantastic with full restaurant service. Singapore lounge very comfortable with plenty of seats. Would definitely fly BA again.,0.9607,Positive
3490,Flew Sydney - Singapore - London return. Thoroughly enjoyed both flights good food good service. Would definitely use again 2015 for planned flight to Oslo. Thank you British Airways.,0.9273,Positive
2290,"Flew Toronto to London in British Airways club world on avios and companion voucher. Prompt check in at Pearson with friendly staff. The club lounge is well run with dinner served as this is a sleeper service. A good choice of food though though the wine list remains unimaginative. The lounge is too small when busy. Additional toilets are needed - too few with queues before the flight was called. Friendly staff on the flight with lights out after takeoff and a tray service offered. The dessert and cheese and drinks was perfect before an ok sleep. The flight is too short for a decent sleep and the club world layout is now dated and in a real need of a re-think. Once cutting edge, it's not fun being stepped over by a stranger and there is a real lack of privacy. Breakfast was ok with the hot muffin being a confused offereing. Returning from Heathrow 10 days later started with a very slow check in process - unusual for T5 with agents blaming cancellations from the previous day spilling over. Went straight to the club lounge on the B gates which is a hidden gem - quiet, well stocked, few children and in good condition. Pleasantly surprised to be upgraded to first on arrival in the lounge . A superb flight with BA first at it's best. Decent vintage champagne before take off, friendly, engaging and professional crew made the experience really first class - impressive given the cabin was full. Great Rose Champagne, an excellent wine list - especially the reds, and well cooked food. A movie, afternoon tea and we arrived head of time into Toronto. The bags almost beat us off. BA can be variable in service - especially in Club World and some of the cost cutting in recent years - though these return flights reminded me of the old BA and how good it can be at its best.",0.995,Positive
3432,Flew VIE to LHR Club Europe fantastic crew looking after the Club Europe cabin the only let down is the new revamped Club Europe Cabin. I really do not believe what BA is saying that this is what their European Passengers want! The seat pitch has now been reduced from 34 inches to 30 inches which used to be the Charter Airlines seat pitch years ago. If the passenger in front reclines their seat it is impossible to work on your laptop as there is no room. I really am not able to justify paying the Club Europe Fare for an economy class seat which is the most uncomfortable seat I have ever say in. A number of passengers were not impressed with the new cabin and all felt badly let down by BA. British Airways used to be a class above the rest now they are just an average low cost carrier but still charge the high fares BA really need to think seriously about the Club Europe layout they have added more seats so it is all about money & not about what their passengers really want.,-0.6388,Negative
3059,Flew Warsaw to Heathrow. Reasonable all round. Fairly nice sandwich and drinks. Crew were patient with some passengers who thought they were in an all inclusive hotel. Very busy flight. New seats are extremely cramped. Feels a bit Ryanair. Boarding a bit chaotic as didn't do by seat row. Baggage started coming off one carousel at Heathrow only to inexplicably move to a different one without warning or announcement.,0.1371,Positive
3599,Flew World Traveller Plus for the first time. Our trip was to and from LHR from Toronto YYZ. When flying a distance World Traveller Plus is well worth the little extra. Being a big guy - tall - I really appreciated the larger seats and the extra leg room. And the on-board staff were super. Will never fly regular economy again if at all possible. Unfortunately we got caught in the baggage screw-up at Heathrow on Friday June 6th. We made it back to Toronto OK but our luggage was just delivered to our house today Wednesday June 11th. I guess that one must remain philosophical when these things happen. I'm just glad that it was at the end of our vacation and not the start. All-in-all I will definitely fly British Airways again.,0.9269,Positive
3624,Flew YVR to MUC via LHR. I had high expectations for this airline but was pretty disappointed. We were flying with twin 15 month olds so it's great with BA that you can preselect the bassinet spots when booking. Crew did bare minimum seemed as though asking for anything was a huge inconvenience. Audio on IFE was awful couldn't hear any movies. Flight landed 10 minutes late in London and we were denied boarding on the MUC flight due to being late. If they allow a connection of 1h10 and you're 10 minutes late and can't get on their system is flawed. When are any LHR flights not 10 mins late! They rebooked us 2.5 hours later but after complaining put us on a Lufthansa flight 1 hour later. I never thought I would say this but will use Air Canada on this route from now on if the price is equal.,-0.2673,Negative
3552,Flew YYZ to LHR on 1st July. Booked WT+ but was upgraded to Club World at the gate which went some way to compensate for the awful outgoing flight (see separate review). Fabulous flight very attentive flight attendants decent food (although the cannelloni was a bit dry) excellent wine Only slight negative was that the 777 is a noisy aircraft even sitting near the front. Overall this was BA at its best.,0.8462,Positive
2157,"Flew Zurich to London Heathrow. Very friendly staff, great choice of complimentary drinks (even spirits such as Gin & Tonic, two sorts of whiskey are included), flight was on time, modern/refurbished cabin. What I generally love about British Airways is their cabin bag policy that allows customers to bring up to two bags on board for free.",0.9599,Positive
2883,"Flew back 30 June, LGW-MCO flight delayed at Gatwick for 8 hours. Got told at 13.55 when flight was supposed to leave that there was a technical fault and they were bringing in a new aircraft from Cardiff, told to report back at 15.15 to be told that still not here and to report back later and given £10 voucher. Told we would take off at 17.15 Come 17.15 got told they needed to try and get a crew. Did not depart until after 9pm. It was our tenth wedding anniversary not one member of staff said anything (I spoke with back duty office the day before and was told they would arrange a glass of champagne inflight). Boarded aircraft which was a very old 777, no champagne, no duty free and no kids packs. My IFE had to be rebooted.",-0.541,Negative
3148,"Flew back from Milan LIN on Jan 4th. Because of ""mist"" (the pilot's actual characterization) most flights that morning had been delayed/canceled in/out of LHR. No delay info given at check-in nor at gate. Upon boarding the captain informed us that because of ""mist"" we were being held on the ground for 2 hours. My connecting flight to SFO was 2.5 hrs after landing in LHR. Flight attendant assured me most flights were being delayed therefore mine to SFO most likely too. Upon landing in LHR a sea of canceled/delayed lost souls. I was immediately told I was forced to miss my connection because my flight to SFO was on time. I was forced to join the longest line I've ever seen for rebooking. It never moved. We were told another set of rebooking desks were available upstairs ""and faster"". Crossing the border control took just as long. Upstairs it took me 5 hours just to get closer to the desks but still at least a couple hours away. I finally managed to join the free wifi and call BA's office to get rebooked online. I was rebooked on a flight from SFO to LHR. The wrong way around. When I pointed out the obvious the agent told me there was a ""computer glitch"" and promised to call me back. She finally called me back and got rebooked on AA flights to JFK and to SFO from there. The next morning at the AA check in they could not check me in on the JFK-SFO because of ""issues with the BA ticket"". It took 90 minutes and multiple interactions with 3 different desks to get it solved. I nearly missed the flight to JFK too. My suitcase was never loaded on that flight and I didn't get it at JFK. It took me 5 days to get my suitcase back. I will never fly British Airways again.",0.2263,Positive
3418,Flew between LHR and JFK and the return leg was IAD to LHR and onward to KUL on MH. I must say BA has an excellent product offering. The crew are extremely friendly and are attentive. They are kept busy the entire flight with juice and water being served consistently. The only setback is that their B747 have seen better days and is in dire need of a refurbishment. Food was good but the IFE could be improved further with enhanced audio and video selection. I will surely fly with BA again. To the crew keep up the good work.,0.9542,Positive
3395,Flew earlier this month LHR to IST in Club Europe. Good smooth uneventful trip. Good lounge at Terminal 5. Food and service onboard was very good. Priority boarding and priority pass for immigration in Turkey. However it is difficult to categorise the seating and space with Business Class. In fact the amount of room available seemed little different to Economy.,0.7574,Positive
2204,"Flew economy class from Manchester to Johannesburg via London Heathrow with British Airways. Flight from Manchester to Heathrow delayed for over 2 hours, very crowded waiting area. We had paid extra for emergency exit seats chosen before departure (only available exactly 14 days before flight). This was well worth the money paid. The emergency exit seats meant we had no one sitting in front or either side of us, giving plenty of room to stretch out for an overnight flight. Again we had paid extra for upgraded meals and these were very good quality, well presented with proper cutlery, also served before the rest of the cabin enabling us to then stretch out and relax. Good entertainment system. All the advantages of premium economy without the price. We had the same service on the way back without the prebooked meals as these are only available from Heathrow. Dont know why it's not available both ways as the meal is basically what they serve in first class. Having used Virgin to fly to Jamaica for last 9 years are now going with BA into Kingston, hoping the service is as good. Only disappointment was with the return connecting flight to Manchester - again quite a long delay sat on tarmac with little explanation and a very rude attendant when my husband enquired about the delay. Note to BA - customers can accept delays if you explain why and at least offer them a drink while waiting, especially when it is early morning and most people are connecting from long overnight flights.",0.8532,Positive
2383,"Flew from EDI-LHR-PHL-LHR-EDI in World Traveller. Outbound shuttle to Heathrow was a Boeing 767-300 in all economy layout, managed to bag seats 1F/1G using online checkin. Cheery, friendly crew - biggest problem is the excessive hand baggage allowance permitted on BA. Selfish people take huge cases on board, filling up the lockers so everyone with more modestly sized items can't get a look in. Cabin crew quite stressed trying to move cases around lockers to get everyone sat down. LHR-PHL upgraded to the rearmost group of two seats on Row 35 on  Boeing 777-200. BA has now cheekily increased the cost of these to £48 each - used to be only £33 like the rest of the cabin. Wisecracking captain over the tannoy made the flight a little more entertaining - again great crew, I could eat the meal for once. Only thing that went wrong was the IFE on my seat crashed in the last 90 minutes of the flight - I could only view the flight tracker. On a side note, I wish BA would upgrade the album choice, they haven't changed it in the last year. Flight was on time no delays. Inbound PHL-LHR I reserved a seat for £33 each, but note you cannot buy the back row on the middle group - reserved for the crew. Plane encountered severe turbulence between Nantucket and Newfoundland, crew had to rush the drinks and the meal service as a result.  No apologies from the pilots about this which BA usually does. LHR-EDI problems about excessive hand baggage exacerbated on the smaller A320.  It was the same steward by sheer coincidence that served us on the outbound shuttle a week earlier and he did remember us, and asked us how our holiday in Philadelphia went! Otherwise flight was pleasant and did what it said on the tin. Overall it was a good value trip - I booked it through BA Holidays, and it being off-season meant the total cost was £940 (before seat upgrades) including 8 days car rental. One observation however it that it is now clear that BA cares little about its economy passengers (who now seem to exist to make up the numbers) - everything now seems to be geared around their high-spending Executive Club members. Avios earning has been drastically cut in the World Traveller cabin class, so a discounted fare now only attracts 0.25 Avios in the mile. Therefore a transatlantic flight to the East Coast of the USA (which used to get 3250 points), now only attracts a measily 815. Pretty pathetic really. I really only use British Airways via LHR for USA trips purely on the basis of using large widebody planes (unlike American and United who increasingly use Boeing 757s) , and their holidays deals which are hard to beat and enable payment instalments.",0.9905,Positive
3597,Flew from Edinburgh to New York via LHR on 5th and 10 June. All flights were very full but the service from check in to on board were very good. My only complaint was the breakfast on the return flight a croissant jam and tea or coffee which was very disappointing.,-0.5023,Negative
2773,"Flew from Gatwick on 09/08/15 to Genoa to join a cruise. Whilst the aircraft was clean, everything else seems to be very old and fit for purpose for a display at a museum. At the back only one toilet was working. Seats very cramped and not comfortable. It was an 8am flight, to my horror only a small cold croissant with a bit of none descriptive cheese in the middle was served with a hot drink. Bearing in mind the flight price on Skyscanner for could have cost over GBP500 pounds. In the good old days British Airways flights from Manchester to Heathrow lasting about an hour served hot breakfast. It appears British Airways does not want to maintain its quality image and I am really disappointed on this flight.",-0.1162,Negative
2941,Flew from Heathrow to San Francisco on May 1st with BA. What a disappointment! I had to pay over £120 to sit next to my husband having already paid for the flight. Then we couldn't access the entertainment for over 90 minutes at the start of the flight due to some technical problem and again later in the flight it went off for about 60 minutes presumably due to the same problem. Our first meal was served more or less straight away and it was OK typical airline fare but there was then over 7 hour wait for the next meal which was laughably called afternoon tea one piece of bread cut into quarters with chicken and a scone with cream and butter. Four hours after the main meal they ran out of snacks and when my husband went in search of something to eat they gave him two packs of nuts and said they were for the return journey! Don't they stock up before picking up the next passengers? Luckily my husband always carries chocolate bars with him as he is diabetic but heaven knows what might have happened had he needed food from the staff. Before half way two of the toilets went out of service so there were some queues. Would I fly BA again certainly not long haul although unfortunately I have to return to Heathrow with them from Boston today.,0.6564,Positive
3386,Flew from IST to LHR on September 29. In short an abomination for a business class flight lasting nearly 4 hours. It started with a dirty dingy cramped lounge with very limited and low-quality food and drink selection and located very far from the boarding gates. I have used the Star Alliance lounge at Ataturk Airport and it is light years ahead of the BA lounge. The plane was an ancient B767. The business class seats had little leg room or recline were packed out hard and very uncomfortable. It took 1 hour for any drink or food service to start and we were served warm champagne and a small bag of stale nuts. This was followed by a hot meal which was totally different from that described in the menu which had been handed out and this became apparent only when the food service began. There were only two choices nothing vegetarian. The crew were disengaged disinterested and dismissive. The entertainment system consisted of only several old screens suspended from the ceiling and showing the movie Godzilla which doubtless was a big hit with the 12 year olds in the audience. At the end of the flight we were given fast-track cards to speed up our passage through customs. Unfortunately only 3 of the 6 fast-track booths were open and we ended up effectively in the slow-track line. To add insult to injury this business class flight cost $200 more than that of its competitor Turkish Airlines and bore little resemblance to the business class service and cabin described on the BA website. Shame on British Airways for this product.,-0.9402,Negative
2967,Flew from Jeddah on BA132 in Club World on a 777-200ER. To be honest I have no complaints. Meal service was fantastic. Cabin crew made sure I was comfortable throughout the flight and brought drinks to keep me and other pax hydrated. Cabin crew were very polite and friendly. Flight departed on time and arrived at LHR ahead of schedule. Would I fly BA again? Of course!,0.9073,Positive
2926,Flew from Kiev to London on their Airbus 319 in Business Class. Leg room was not so good but otherwise seats comfortable. Food served was good. We departed on time and arrived 10 mins early. Immigration queue in Terminal 5 was very long and slow and my bag was waiting for me once I got through. A nice flight.,0.4754,Positive
3128,Flew from LAX-LHR on BA's new A380. The crew are rightfully proud of their new aircraft and could not stop telling the passengers about its status. My seat was picked as 53K Upper Deck. I couldn't believe how cramped it was for this long journey. The divider partition was covered in red wine stains from a previous trip and staff seemed nonchalant about cleanliness. The available width of BA's offering is a big disappointment. Whilst those socially awkward individuals might enjoy the clandestine surroundings I for one do not favour the casket-feel of Club World. The A380 and 787 were a chance to hone the business class offering after much criticism. Execution of the flight was prompt and we pushed back on schedule. I fly a lot for work and am privileged to enjoy the premium cabins but poor attention to detail and very slow service don't inspire a return to a specific carrier. One alcoholic drink was offered just after take off and then the all too familiar menu was wheeled out. BA's menu for this flight was identical to a return LHR-MIA-LHR leg I took back in early December. Lacklustre choices and the infamous warm chicken breast salad. Maybe I was tired and didn't endear myself but it needs to be better. I recently flew the A380 with AF to LAX in Business and that was a role reversal! No limp and greasy bacon sandwich on AF either. LAX Teminal B a massive improvement over the years. From fast immigration to pleasant design it's the leader in aspiring all US airports to improve their standards and get rid of carpet underfoot! Although and in summary is this solely enough in a demanding arena where those availing themselves of premium cabin experiences have quite the opposite.,0.7165,Positive
3362,Flew from LGW to Catania. Lounge at Gatwick was good and staff very attentive no lounge at Catania airport and given vouchers instead which we got a rotten cup of coffee from the BA approved cafe next to the non Schengen passport control. Flights both ways were good and we liked the Pilot pointing out Lake Geneva and telling us about our route so nicely. The return flight back to LGW the Captain was hard to hear and wasn't so interesting. That aside on both journeys we felt well looked after with charming FAs. The food was also good too and we landed on time. Baggage came very quickly at LGW but at Catania airport it was a bit of a carnival! I'm afraid Catania airport is the worst airport I've been through but there you go! I think it is one of the joys of travelling.,0.7346,Positive
3391,"Flew from LGW to PFO and back recently. Plane was old tatty 737 but at least we got the 34"" of legroom which the refitted planes no longer have. Flights were on time both ways food was reasonably good & cabin staff were charming (specially on the outboard flight). I was surprised to find BA no longer has a Club Lounge at Paphos and even more surprised to find that there was a comfortable lounge there that BA Club Europe passengers were unable to use. We were given vouchers as compensation and thought we would at least get a glass of wine and a sandwich - but no. The vouchers were of such low value they could only be redeemed for things like a local beer crisps and chewing gum. Even though the flights were quite good I feel that BA are treating their Club Europe passengers with contempt by denying them any lounge access or reasonable compensation - also by refitting their aircraft to give passengers less seat width and the same legroom as economy. Why pay a premium price for a non premium product?",0.9081,Positive
2501,"Flew from LGW-BCN on the A320 seated in seats 2D/2F. Lounge at Gatwick prior to boarding was very nice, offered good food and drink selection including champagne on request. Cabin crew friendly and attentive. I was a bit apprehensive about BA's new business class product but the seat was comfortable and having the middle seat free does allow for more room, although the leg room is a little tight, but okay for a short flight. We were served a cold meal which was quite tasty along with complimentary drinks. I would recommend British Airways.",0.9779,Positive
3139,Flew from LHR to CAI new years day business class - was absolutely superb. Cabin staff were attentive and helpful flight was on time cabin spotless food excellent seats comfortable. My return flight economy again good helpful attendants food was fine seats appropriate and clean. Even though the flight was at a time very high winds were present in UK the landing was skilfully executed and for me as a nervous flyer really I could not have asked for two better flights. I obtained online excellent prices for both flight prices relatively last minute too! No hesitation in flying BA at anytime.,0.9773,Positive
3571,Flew from LHR to Hong Kong April 13th 2014 BA 25 and the flight took off 1 hour late. Therefore as I had an onwards connection to Jakarta with limited time to get my connection I asked on board about help with getting my onwards boarding card to Jakarta as BA in Belfast refused to issue me a boarding card. The CSD was not seen nor did he even come to speak with me even though I am GGL member. The only help I got was from one of the Hong Kong based air stewardesses who went out of her to help me. Without her help I would have missed my onwards to Jakarta. Certainly not impressed by the service. I made a follow up compliant however never received any response.,0.6537,Positive
3556,Flew from LHR to YYZ on 23 June on new 787. Not impressed. Very bumpy taxiing. Smooth inflight but I couldn't really notice the extra cabin pressure or humidity that is supposed to be so wonderful. I was seated in a window seat. Flight completely spoilt by massive 130 kg passenger seated in middle seat - he could not fit between the armrests and needed help from both myself and passenger in aisle seat to even fasten his seatbelt. This is unacceptable especially since I paid £30 extra to choose my seat! Cabin crew friendly and efficient though why they didn't notice the situation with my huge fellow passenger and do something about it I don't know - safety issue if nothing else. Otherwise flight OK.,0.9333,Positive
2174,"Flew from Leeds Bradford to London Heathrow. So much improved from my last flight with British Airways which was long haul. Cannot fault the airline in any way. Cabin Crew extremely friendly and chatty, when time permitted, and very helpful. Aircraft spotlessly clean, and very generous leg room. Of the three different airlines flown in this last week, BA wins hands down.",0.9691,Positive
3016,Flew from London Heathrow to Rome Fiumicino. Flew the same route last year too and both times it was excellent. This time our flight was operated with an Airbus A320 with slim line seats that looked brand new. These were very comfortable for a short haul flight and the leg room sufficient. In-flight catering was excellent. Coffee was a bit weak but the sandwiches were delicious. This time cheese and ham doorstop with white bread. I expected good things after last years flat bread and was not disappointed. Cabin crew were very friendly and efficient as were the airport staff. Boarding process was fast and efficient and on both flights at arrival and destination the aircraft was at a jet bridge so no need to board a bus. Flights departed and arrived on time. Will definitely fly BA again.,0.9848,Positive
3335,Flew from London to Calgary. The seats in the new Dreamliner are awful. It was bad enough sitting in the seat but when the person in front of me lowered his seat it became impossible. His seat was right on my legs that shows how little room there is on these planes. Staff started serving meals all of a sudden went by about 7 or 8 rows of us and forgot to come back to feed us.,-0.6124,Negative
3464,Flew from London to Doha on a newly refurbished 777. Smooth ride through airport and pleasant staff on hand to help. Boarding was on time but there was a slight delay which put us back by half an hour and delayed take off. Captain was good at keeping us informed. Cabin Crew friendly enough but seemed tired in their service and no smile. Food was average and not anything to write home about. I felt I had to eat quickly as the flight attendant was waiting for me to finish my last bite with a stern look! Inflight entertainment was excellent and kept me entertained throughout the six hours you have got an array of movies TV games and Music to choose from. Seats were really comfy and I got a good kip. Overall an enjoyable experience and I would definitely fly BA again.,0.984,Positive
1988,"Flew from Miami to London. First time on the A380 and was a little surprised how unremarkable the experience was because you board via 2 jet ways the boarding was no longer than a 747 or 777. The World Traveller Plus area is on the upper deck and BA had divided the class areas into smaller spaces so losing the scale of the aircraft. The seat were comfortable and spacious even when the seat in front was fully reclined on the over night flight you still had space and room. The service was the usual British Airways, the cabin crew being friendly and interactive. Overall a good quick flight and would definitely recommend BA but will stick to the 787 which I really love",0.9111,Positive
3110,Flew from SFO to Milan via Heathrow on 2/14 returned 2/21. Outbound was rescheduled due to changes requested by my company's business partner in Milan. This was the third reschedule and BA charged 433.40 533.90 and 275.00 successively on a basic $1822.00 economy flight. No other airline does this in my experience. Incredibly my travel agency could not reserve me a window seat ahead of time - unless I paid an extra $53.00 for each flight. I did so but was given an aisle seat on the outbound flight anyway. Both overseas legs were on 747s that were extremely cramped for someone over 6 ft. tall. On the way out my antiquated in-flight display did not work. On the way back my headphone jack was broken. We left Heathrow 90 minutes late due to a computer glitch but for the next 12 hours the BA website indicated on time arrival so my wife waited two hours extra at SFO. Overall a very poor experience. I will avoid BA whenever possible.,-0.92,Negative
3673,Flew from San Francisco to Heathrow London. Flight was delayed 3.5 hours the food particularly the breakfast was the worst I've had on an airline. The sets were very uncomfortable. I feel BA have a long way to catch up to the quality to other airlines such as Emirates and Qatar.,-0.8357,Negative
3616,Flew in Club World for the first time on the new BA A380s. Big disappointment. The two upper deck cabins feel congested with more seats than the upper deck of a 747 yet noticeably fewer staff per passenger and too few toilets. The dinner service on the LHR-JNB flight was chronically slow (about three hours from beginning to end). The staff have been instructed to deliver drinks by hand from the galleys (rather than from a trolley) and to plate all the meals. All this takes too long with this level of staffing and the passenger experience suffers. The cabin crew were also curiously bad tempered perhaps due to the frustration of trying to deliver an over complicated meal service to increasingly disgruntled passengers. A pity as the planes are quieter than previous generation aircraft and the flight was very smooth.,-0.9001,Negative
3193,Flew on 23 December from Shanghai to LHR in first. Only 3 of us in the cabin so service was excellent and very personal. Found the seat and bed both very comfortable and food and drink selection was excellent. IFE wasn't amazing - found stuff to watch but easily got bored. First lived up to my expectations on BA and I'd love to repeat it.,0.9095,Positive
3523,"Flew on a 777-200 from London Heathrow to San Diego worst flight I have taken on British Airways. Being a rather tall person 6'7"" and travelling in economy the person in front of me could not recline his seat due to my legs blocking his recline he complained to the cabin personnel that he could not recline and I was asked to remove my knees so he could recline stating to cabin crew that I would not have a comfortable journey they did not seem to care. When the food was served I could not even put my tray table down so the cabin crew would not serve me a meal stating that the tray must be in the down position to eat a meal. So to tell you the truth I spent the best part of 7 hours of a 11 hour flight in the toilet at least in there I could stretch out my legs. Wrote a letter to British Airways to inform them of my flight haven't heard anything back from them. Just shows you they really care about their passengers.",-0.8707,Negative
3242,"Flew return (LHR to LAX) on the A380. Condition of the aircraft is good as the aircraft is new. BA had first business and economy on the main deck and business premium economy and economy on the upper deck. This was good as it avoided the vast spaces which could make the cabin look like cattle class. The food service was acceptable and has not changed much (except for the smaller portion) from which I first flew with BA about 15 years ago. Service was delivered in a professional and timely manner. The downside was the seat design. BA is trying to fit a remote control video screen tray table and storage space all on the seat back. This makes the tray table and video screen far too small (back to sizes that I experienced back in the 90s). This made the travel experience felt like cattle class as the seat dimension is typical economy seat size. All other airlines have improved the travel experience by improving the economy seat design. The worst experience was on the return leg when a passenger absolutely refused to put his seat upright during the dinner service and this was after I asked him repeatedly. This resulted in my tray sloping down and the dinner tray and tray table hitting my stomach. The cabin crew just shrug me off when I asked him to ask the ""gentleman"" to put up his seat for just 10 minutes. Come on there is a big difference between good service (not upsetting customers) and just avoiding difficult situations.",0.6605,Positive
3689,Flew return in CW from LHR to BKK in August 2012. The positives of both flights were: they were on time seats were comfortable and lounges were good. The negatives were: very poor food selections on board (over cooked and uninspiring) very mixed crews - depending on what side of the aircraft you sat you got a totally different in-flight experience - some of the cabin crew should get new jobs as passengers are a severe inconvenience to them and the IFE was unreliable - on both flights the IFE had to be re-set at least once. Overall the flights were fine and I will use BA again if the price is right.,0.4417,Positive
2608,"Flew return with British Airways from BKK on a 777-200 in premium economy. Don't bother paying extra to pre-book the seats, we paid £160 to reserve seats 12A/12B outward journey and seats 12G/12H return journey and never got what we paid for. On bringing the seat change to the attention of staff at BKK, was told sorry, system make a mistake. On a positive note the staff were working hard and water and juice was offered frequently on the day flight. The female staff on flight BA0010 looked as if the did not want to be there, very abrupt and surly looking. On the other hand the male staff on this flight were very professional, smiling and very attentive. British Airways need to work a bit harder and update the grubby fleet on this route as the Asian airlines offer a better product. Blankets shabby in business / premier elite. The inflight films / ancient music very limited. Come on BA wake up your losing customers and need to up your game. What was once a great airline is going downhill.",0.9001,Positive
3387,Flew the new 787 Business Class from PHI to LHR. The aircraft was impressive. It was quiet and comfortable. The lower altitude cabin and the higher humidity were not noticeable in flight but the lack of jetlag was noticeable. Service was very good. The business cabin was 2/3 empty. The cabin crew were very attentive. The negatives was the seating and entertainment system. With the large windows the rear facing seats were a poor design. The feeling of closeness was uncomfortable. I guess the extra seat they squeeze in makes it all worth while to the airline. The amount of choices in all the video selection and the content left a lot to be desired. Return was in a 777. The seating and entertainment were the same This and the A380 use to be my favorite airplane. However the 787 has become favorite airplane now. I think it is the last time I will fly BA Business class until they change their seating.,0.9472,Positive
